id,description
AAS,ATOMIC ABSORPTION
ALPHA,ALPHA COUNTING
ALPHA-ID,ALPHA COUNTING ISOTOPE DILUTION
AMS,ACCELERATOR MASS SPECTROMETRY
ANC,ANION CHROMATOGRAPHY
AR_AR,AR40_AR39 AGE DETERMINATION
CALC,CALCULATED
CHN,CARBON HYDROGEN NITROGEN ANALYSIS
CHN-G,CARBON HYDROGEN NITROGEN GAS CHROMATOGRAPHY
CHS,CARBON HYDROGEN SULFUR ELEMENTAL ANALYSIS
CNS,CARBON NITROGEN SULFUR ANALYSIS
COL,COLORIMETRIC ANALYSIS
COUL,COULOMETRICAL ANALYSIS
CSA,CARBON SULFUR ANALYSIS
DCP,DIRECT CURRENT PLASMA (FURTHER DETAIL NOT PROVIDED)
DROES,DIRECT READING OPTICAL EMISSIONS SPECTROSCOPY
EA,ELEMENTAL ANALYZER
EA-CF-IRMS,ELEMENTAL ANALYZER CONTINUOUS-FLOW ISOTOPE RATIO MASS SPECTROMETRY
EMP,ELECTRON MICROPROBE
ENAA,EPITHERMAL NEUTRON ACTIVATION ANALYSIS
ES,EMISSION SPECTROMETRY
FIS,FISSION TRACK
FL-ES,FLAME EMISSION SPECTROSCOPY
FP,FILM POLAROGRAPHY
FPHOT,FLAME PHOTOMETRY
FTIR,FOURIER TRANSFORM INFRARED SPECTROMETRY
GAMMA,GAMMA RAY SPECTROMETRY
GC,GAS CHROMATOGRAPHY
GIO,GRADIENT ION-CHROMATOGRAPHY
GRAV,GRAVIMETRY
HPLC,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY
HR-ICP-MS,HIGH-RESOLUTION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY
IA,IMAGE ANALYSIS
ICP,INDUCTIVELY COUPLED PLASMA (FURTHER DETAIL NOT PROVIDED)
ICP-OES,INDUCTIVELY COUPLED PLASMA OPTICAL EMISSION SPECTROMETRY
ICPAES,INDUCTIVELY COUPLED PLASMA ATOMIC EMISSION SPECTROMETRY
ICPMS,INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY
ICPMS-ID,INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY ISOTOPE DILUTION
IGN,IGNITION
IMP,ION MICROPROBE
INAA,INSTRUMENTAL NEUTRON ACTIVATION ANALYSIS
INC,ION CHROMATOGRAPHY
IR-SP,INFRA-RED SPECTROSCOPY
ISE,ION SENSITIVE ELECTRODE
IVA,INVERSION VOLT-AMPEROMETRY
K-AR,POTASSIUM ARGON AGE DETERMINATION
LA-ICPMS,LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY
LA-MC-ICPMS,LASER ABLATION MULTICOLLECTOR ICPMS
LAICP,INDUCTIVELY COUPLED PLASMA LASER ABLATION (FURTHER DETAIL NOT PROVIDED)
LAMICP,LASER ABLATION MICROPROBE INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY
LU-HF,LUTETIUM-HAFNIUM AGE DETERMINATION
MANO,MANOMETRY
MC-ICP-MS,MULTICOLLECTOR INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY
MOSS,MOSSBAUER SPECTROSCOPY
MS,MASS SPECTROMETRY
MS-ID,MASS SPECTROMETRY ISOTOPE DILUTION
NAA,NEUTRON ACTIVATION ANALYSIS
NCC,NEUTRON COINCIDENCE COUNTING
NSFA-ID,NICKEL SULFIDE FIRE ASSAY ISOTOPE DILUTION
NTIMS,NEGATIVE THERMAL IONIZATION MASS SPECTROMETRY
NTIMS-ID,NEGATIVE THERMAL IONIZATION MASS SPECTROMETRY ISOTOPE DILUTION
OES,OPTICAL EMISSION SPECTROMETRY
OPS,OPTICAL SPECTROSCOPY
PB-PB,LEAD-LEAD AGE DETERMINATION
PC,POINT COUNTING
PEN,PENFIELD METHOD
PGNAA,PROMPT-GAMMA NEUTRON ACTIVATION ANALYSIS
PMP,PROTON MICROPROBE
POT,POTENTIOMETRY
RA-TH,RADIUM226-THORIUM230 AGE DETERMINATION
RB-SR,RUBIDIUM-STRONTIUM AGE DETERMINATION
RE-OS,RHENIUM-OSMIUM AGE DETERMINATION
RNAA,RADIOANALYTICAL NEUTRON ACTIVATION
RR,RAPID ROCK ANALYSIS
SEM,SCANNING ELECTRON MICROSCOPE
SEM-EDS,SCANNING ELECTRON MICROSCOPE-ENERGY DISPERSIVE XRAYS
SIMS,SECONDARY ION MASS SPECTROMETRY
SM-ND,SAMARIUM-NEODYMIUM AGE DETERMITATION
SMA,DUPONT SOLID'S MOISTURE ANALYSIS
SP-PH,SPECTROPHOTOMETRY
SPEC,SPECTROGRAPHIC ANALYSIS
SS-ID,SPARK SOURCE MASS SPECTROMETRY - ISOTOPE DILUTION
SSMS,SPARK SOURCE MASS SPECTROMETRY
TH_PB,THORIUM-LEAD AGE DETERMINATION
TIMS,THERMAL IONIZATION MASS SPECTROMETRY
TIMS-ID,THERMAL IONIZATION MASS SPECTROMETRY ISOTOPE DILUTION
TITR,TITRATION
UV-ES,ULTRAVIOLET EMISSION SPECTROGRAPHY
U_PA,URANIUM235-PROTACTINIUM231 AGE DETERMINATION
U_PB,URANIUM LEAD AGE DETERMINATION
U_TH,URANIUM238-THORIUM230 AGE DETERMINATION
U_TH_HE,URANIUM-THORIUM-HELIUM AGE DETERMINATION
Unknown,UNKNOWN
VAC-F,VACUUM FUSION
VOL,VOLUMETRIC ANALYSIS
WET,WET CHEMISTRY
XANES,X-RAY ABSORPTION NEAR-EDGE STRUCTURE SPECTROSCOPY
XRF,X-RAY FLUORESCENCE
XRF-EDS,ENERGY-DISPERSIVE X-RAY FLUORESCENCE
