id,description
AB,albite
AC,acmite
ACC,accessory minerals
ACT,actinolite
ALM,almandine
ALT,alteration product
AMG,amygdule
AMPH,amphibole
AN,anorthite
ANAL,analcite
AND,andalusite
ANDR,andradite
ANH,anhydrite
APA,apatite
AUG,augite
Ag,silver
Age,sample age
Al,aluminum
Al2O3,aluminium oxide
Ar,argon
Ar36,argon isotope Ar36
Ar36_Ar38,ratio of argon isotopes Ar36 to Ar38
Ar36_Ar40,ratio of argon isotopes Ar36 to Ar40
Ar37_Ar40,ratio of Ar37 to Ar40
Ar38,argon isotope Ar38
Ar38_Ar36,ratio of argon isotopes Ar38 to Ar36
Ar39,argon isotope Ar39
Ar39_Ar40,ratio of argon isotopes Ar39 to Ar40
Ar40,argon isotope Ar40
Ar40RG_Ar39K,ratio of radiogenic Ar40 to Ar39 produced from k
Ar40_ATM,atmospheric argon isotope Ar40
Ar40_Ar36,ratio of argon isotopes Ar40 to Ar36
Ar40_Ar36(I),initial Ar40 to Ar36 ratio
Ar40_Ar39,ratio of argon isotopes Ar40 to Ar39
Ar40_He4,ratio of argon isotopes Ar40 to helium isotope He4
Ar40_RG,radiogenic Ar40
As,arsenic
Au,gold
B,boron
B11_B10,boron isotope
BIO,biotite
BST,bastite
BZT,bronzite
Ba,barium
BaO,barium oxide
Be,beryllium
Be10,beryllium isotope Be10
Be10_Be9,ratio of beryllium isotopes Be10 to Be9
Be9,beryllium isotope Be9
Bi,bismuth
Br,bromium
C,carbon
CALC,calcite
CAP_DELTA_S33,"deviation of Delta_S33 from the terrestrial fractionation array, calculated as Delta_S33 minus 1000 times ((Delta_S34 divided by 1000 then plus one) taken to the 0.515th power) minus 1 or CAP_DELTA_33S=DELTA_S33-1000Ã[(DELTA_S34/1000+1)^0.515-1]"
